label_num,label_text
0,1.숙박-숙박시설정보-내부시설운영시간
1,1.숙박-숙박시설정보-내부편의시설확인
2,1.숙박-숙박시설정보-세탁실위치확인
3,1.숙박-숙박시설정보-시설내부길안내
4,1.숙박-숙박시설정보-시설내부목적지길안내
5,1.숙박-숙박시설정보-시설내부지도
6,1.숙박-숙박시설정보-시설상세정보
7,1.숙박-숙박시설정보-시설외부목적지길안내
8,1.숙박-숙박시설정보-식당메뉴정보
9,1.숙박-숙박시설정보-식당위치확인
10,1.숙박-숙박시설정보-식당이용안내
11,1.숙박-숙박시설정보-체크아웃
12,1.숙박-숙박시설정보-체크인/체크아웃시간
13,1.숙박-숙박시설정보-층별정보
14,1.숙박-숙박시설정보-프론트이용안내
15,1.숙박-숙박예약-숙박예약진행
16,1.숙박-숙박예약-예약가능날짜조회
17,1.숙박-숙박예약-예약가능시간조회
18,1.숙박-숙박예약-예약가능한숙소확인
19,1.숙박-숙박예약-예약내용확인
20,1.숙박-숙박예약-예약변경
21,1.숙박-숙박예약-잔여실정보확인
22,1.숙박-숙박예약-조건별숙소예약
23,1.숙박-숙박체크인/아웃-스마트키반납
24,1.숙박-숙박체크인/아웃-스마트키지급
25,1.숙박-숙박체크인/아웃-체크아웃진행
26,1.숙박-숙박체크인/아웃-체크아웃확인
27,1.숙박-숙박체크인/아웃-체크인가능시간
28,1.숙박-숙박체크인/아웃-체크인진행
29,1.숙박-숙박체크인/아웃-체크인확인
30,1.숙박-주변관광정보-관광명소검색
31,1.숙박-주변관광정보-관광명소안내
32,1.숙박-주변관광정보-대중교통검색
33,1.숙박-주변관광정보-대중교통시간조회
34,1.숙박-주변관광정보-맛집검색
35,1.숙박-주변관광정보-목적지길안내
36,1.숙박-주변관광정보-버스정류장검색
37,1.숙박-주변관광정보-주변관광지조회
38,1.숙박-주변관광정보-지하철역검색
39,1.숙박-주차정산-주차비정산
40,1.숙박-주차정산-주차비확인
41,1.숙박-주차정산-주차요금정보
42,1.숙박-주차정산-차량검색
43,1.숙박-주차정산-차량위치조회
44,1.숙박-직원호출-객실직원호출
45,1.숙박-직원호출-숙박직원호출
46,1.숙박-직원호출-신체적약자의직원호출
47,1.어린이집-공지사항-공지사항날짜별
48,1.어린이집-공지사항-공지사항읽기
49,1.어린이집-공지사항-공지사항행사별
50,1.어린이집-공지사항-공지사항회신
51,1.어린이집-놀이-놀이방법
52,1.어린이집-놀이-놀이우승조건
53,1.어린이집-놀이-놀이피드백
54,1.어린이집-놀이-등수성취
55,1.어린이집-대화-과거교과내용묻기
56,1.어린이집-대화-미래교과과정묻기
57,1.어린이집-대화-주제에대한생각묻기
58,1.어린이집-대화-질문하고답하기
59,1.어린이집-대화-현재교과내용묻기
60,"1.어린이집-사진,캠-동영상촬영"
61,"1.어린이집-사진,캠-동작영상촬영"
62,"1.어린이집-사진,캠-동작촬영요청"
63,"1.어린이집-사진,캠-사진촬영요청"
64,"1.어린이집-사진,캠-사진편집"
65,"1.어린이집-사진,캠-업로드"
66,"1.어린이집-사진,캠-영상편집"
67,"1.어린이집-사진,캠-전송"
68,"1.어린이집-사진,캠-편집"
69,1.어린이집-시간표-수업변경사항
70,1.어린이집-시간표-시간표변경확인
71,1.어린이집-시간표-월간시간표확인
72,1.어린이집-시간표-월간행사확인
73,1.어린이집-시간표-주간시간표확인
74,1.어린이집-시간표-특정과목시간표확인
75,1.어린이집-식사및간식메뉴-간식메뉴확인
76,1.어린이집-식사및간식메뉴-성장에도움되는재료확인
77,1.어린이집-식사및간식메뉴-음식재료확인
78,1.어린이집-식사및간식메뉴-점심메뉴확인
79,1.어린이집-식사및간식메뉴-주의가필요한재료확인
80,1.어린이집-식사및간식메뉴-특정식재료확인
81,1.어린이집-준비물-준비물구매처찾기
82,1.어린이집-준비물-준비물주의사항
83,1.어린이집-준비물-준비물확인
84,1.엔터테인먼트-감성대화-긍정적변화반응
85,1.엔터테인먼트-감성대화-기분대답하기
86,1.엔터테인먼트-감성대화-기분묻기
87,1.엔터테인먼트-감성대화-기분확인하기
88,1.엔터테인먼트-감성대화-대화하기
89,1.엔터테인먼트-감성대화-말하기
90,1.엔터테인먼트-감성대화-무작위시작
91,1.엔터테인먼트-감성대화-반응하기
92,1.엔터테인먼트-감성대화-부정적변화반응
93,1.엔터테인먼트-감성대화-위로하기
94,1.엔터테인먼트-감성대화-질문하기
95,1.엔터테인먼트-감성대화-축하하기
96,1.엔터테인먼트-감성대화-칭찬하기
97,1.엔터테인먼트-감성대화-해결책제시하기
98,1.엔터테인먼트-노래방-간주점프
99,1.엔터테인먼트-노래방-노래녹음
100,1.엔터테인먼트-노래방-노래평가
101,1.엔터테인먼트-노래방-일반검색
102,1.엔터테인먼트-노래방-일반재생
103,1.엔터테인먼트-노래방-조건부검색
104,1.엔터테인먼트-노래방-조건부재생
105,1.엔터테인먼트-노래방-즐겨찾기등록
106,1.엔터테인먼트-노래방-추천곡선택
107,1.엔터테인먼트-노래방-특정곡선택
108,1.엔터테인먼트-노래방-특정곡예약
109,1.엔터테인먼트-노래방-특정콘텐츠검색
110,1.엔터테인먼트-노래방-특정콘텐츠재생
111,1.엔터테인먼트-동화-내용확인
112,1.엔터테인먼트-동화-등장인물확인
113,1.엔터테인먼트-동화-일반재생
114,1.엔터테인먼트-동화-조건부검색
115,1.엔터테인먼트-동화-조건부재생
116,1.엔터테인먼트-동화-즐겨찾기등록
117,1.엔터테인먼트-동화-특정콘텐츠검색
118,1.엔터테인먼트-동화-특정콘텐츠재생
119,1.엔터테인먼트-동화-플레이리스트확인
120,1.엔터테인먼트-라디오-특정주파수로의전환
121,1.엔터테인먼트-스트리밍서비스-무작위재생
122,1.엔터테인먼트-스트리밍서비스-순위별검색
123,1.엔터테인먼트-스트리밍서비스-음악추천
124,1.엔터테인먼트-스트리밍서비스-이전재생반복
125,1.엔터테인먼트-스트리밍서비스-재생목록확인
126,1.엔터테인먼트-스트리밍서비스-재생정지
127,1.엔터테인먼트-스트리밍서비스-전체순위확인
128,1.엔터테인먼트-스트리밍서비스-조건부검색재생
129,1.엔터테인먼트-스트리밍서비스-즐겨찾기등록
130,1.엔터테인먼트-스트리밍서비스-즐겨찾기보기
131,1.엔터테인먼트-스트리밍서비스-즐겨찾기저장
132,1.엔터테인먼트-스트리밍서비스-추천곡재생
133,1.엔터테인먼트-스트리밍서비스-특정콘텐츠반복
134,1.엔터테인먼트-스트리밍서비스-특정콘텐츠재생
135,1.엔터테인먼트-스트리밍서비스-플레이리스트보기
136,1.엔터테인먼트-스트리밍서비스-플레이리스트재생
137,1.엔터테인먼트-스트리밍서비스-플레이리스트확인
138,1.엔터테인먼트-오디오북-남은시간
139,1.엔터테인먼트-오디오북-목소리변경
140,1.엔터테인먼트-오디오북-속도조절
141,1.엔터테인먼트-오디오북-속도조절느리게
142,1.엔터테인먼트-오디오북-속도조절빠르게
143,1.엔터테인먼트-오디오북-취침모드설정
144,1.엔터테인먼트-오디오북-취침모드켜기
145,1.엔터테인먼트-오디오북-콘텐츠검색
146,1.엔터테인먼트-오디오북-콘텐츠목록
147,1.엔터테인먼트-운세/로또-번호선택용용지발급
148,1.엔터테인먼트-운세/로또-번호자동선택
149,1.엔터테인먼트-운세/로또-선택후구매
150,1.엔터테인먼트-운세/로또-자동선택구매
151,1.엔터테인먼트-운세/로또-전체운세검색
152,1.엔터테인먼트-운세/로또-특정운세검색
153,1.엔터테인먼트-음성게임-간단한퀴즈맞추기
154,1.엔터테인먼트-음성게임-게임점수알기
155,1.엔터테인먼트-음성게임-숫자맞추기
156,1.엔터테인먼트-음성게임-영어단어맞추기
157,1.엔터테인먼트-음성게임-한글단어맞추기
158,1.엔터테인먼트-종교-콘텐츠무작위재생
159,1.엔터테인먼트-종교-특정콘텐츠검색
160,1.온도제어-보일러제어-단계설정
161,1.온도제어-보일러제어-보일러켜기
162,1.온도제어-보일러제어-온도낮추기
163,1.온도제어-보일러제어-온도높이기
164,1.온도제어-보일러제어-최대설정
165,1.온도제어-보일러제어-최소설정
166,1.온도제어-보일러제어-타이머설정
167,1.온도제어-보일러제어-히터방향상
168,1.온도제어-보일러제어-히터방향하
169,1.온도제어-에어컨제어-단계설정
170,1.온도제어-에어컨제어-단계올리기
171,1.온도제어-에어컨제어-바람방향상
172,1.온도제어-에어컨제어-바람방향하
173,1.온도제어-에어컨제어-온도낮추기
174,1.온도제어-에어컨제어-온도높이기
175,1.온도제어-에어컨제어-온도설정
176,1.온도제어-에어컨제어-위치확인
177,1.온도제어-에어컨제어-전원끄기
178,1.온도제어-에어컨제어-전원켜기
179,1.온도제어-에어컨제어-최대설정
180,1.온도제어-에어컨제어-최소설정
181,1.온도제어-에어컨제어-타이머설정
182,1.온도제어-에어컨제어-특정위치에어컨확인
183,1.온도제어-에어컨제어-풍량세기강
184,1.온도제어-에어컨제어-풍량세기약
185,1.지하철-목적지검색-경유경로안내
186,1.지하철-목적지검색-총요금안내
187,1.지하철-목적지검색-최단경로탐색
188,1.지하철-배차시간-도착예정시간
189,1.지하철-배차시간-배차간격조회
190,1.지하철-배차시간-배차시간표확인
191,1.지하철-배차시간-시간표조회
192,1.지하철-배차시간-출발시간검색
193,1.지하철-승차권-보증금환급
194,1.지하철-승차권-승차권발권
195,1.지하철-승차권-승차권확인
196,1.지하철-시설안내-고객센터위치확인
197,1.지하철-시설안내-시설내부지도
198,1.지하철-시설안내-시설서비스안내
199,1.지하철-시설안내-출구위치확인
200,1.지하철-시설안내-출구정보검색
201,1.지하철-시설안내-편의시설위치확인
202,1.지하철-시설안내-편의시설정보
203,1.지하철-시설안내-화장실위치확인
204,1.지하철-직원호출-긴급호출
205,1.지하철-직원호출-직원호출
206,1.차량단말기-라디오방송국-채널/주파수변경
207,1.차량단말기-라디오방송국-채널/주파수탐색
208,1.차량단말기-문자기능-문자쓰기
209,1.차량단말기-문자기능-문자읽기
210,1.차량단말기-전화기능-부재중전화보기
211,1.차량단말기-전화기능-전화걸기
212,1.차량단말기-전화기능-통화내역보기
213,1.차량단말기-주변목적지탐색-목적지검색
214,1.차량단말기-주변목적지탐색-주변음식점안내
215,1.차량단말기-주변목적지탐색-즐겨찾기등록
216,1.차량단말기-주변목적지탐색-즐겨찾기삭제
217,1.차량단말기-주변목적지탐색-최근목적지확인
218,1.차량단말기-차량기본기능-블루투스연결상태
219,1.차량단말기-차량기본기능-블루투스연결하기
220,1.차량단말기-차량기본기능-설정값변경
221,1.차량단말기-차량기본기능-설정검색
222,1.차량단말기-차량기본기능-영상재생
223,1.차량단말기-차량기본기능-음악재생
224,1.차량제어-긴급차량-에스오에스차량양보
225,1.차량제어-속도제어-주행속도세팅
226,1.차량제어-시동-시동끄기
227,1.차량제어-시동-시동켜기
228,1.차량제어-시트-시트온도제어
229,1.차량제어-시트-열선시트
230,1.차량제어-시트-조수석시트
231,1.차량제어-시트-통풍시트
232,1.차량제어-예약시동-시동유지제어
233,1.차량제어-예약시동-주간예약시동
234,1.차량제어-운전제어-일자따라가기
235,1.차량제어-운전제어-일자추월
236,1.차량제어-자율주행시작-자율주행모드시작
237,1.차량제어-자율주행시작-자율주행모드종료
238,1.차량제어-차문-뒷자리차문
239,1.차량제어-차문-전체차문
240,1.차량제어-차문-조수석차문
241,1.차량제어-창문-시동석창문
242,1.차량제어-창문-전체창문
243,1.차량제어-창문-조수석창문
244,2.가정-공지사항-공지사항검색
245,2.가정-공지사항-공지사항읽기
246,2.가정-공지사항-공지사항회신
247,2.가정-공지사항-날짜별공지사항
248,2.가정-놀이-교육용게임실행
249,2.가정-놀이-동영상재생
250,2.가정-놀이-오디오북동화책재생
251,2.가정-놀이-음악재생
252,2.가정-대화-감성적인일상대화
253,2.가정-대화-질문하고답물어보기
254,2.가정-보안-문제발생시행동요령묻기
255,2.가정-보안-보안경보알림
256,2.가정-보안-위급상황알림
257,2.가정-보안-확인필요사항알림
258,2.가정-숙제-미래숙제
259,2.가정-숙제-숙제완료확인
260,2.가정-숙제-오늘숙제
261,2.가정-스케줄-가족스케줄
262,2.가정-스케줄-방과후학습일정
263,2.가정-스케줄-사교육스케줄
264,2.가정-시간표-사교육시간표확인
265,2.가정-시간표-시간표변경사항
266,2.가정-시간표-어린이집시간표
267,2.가정-전화-가족과영상통화
268,2.가정-전화-위급상황알림및자동통화
269,2.가정-준비물-사용시주의사항
270,2.가정-준비물-월간준비물확인
271,2.가정-준비물-주별준비물확인
272,2.가정-준비물-준비물판매처확인
273,2.가정-학습-내용복습
274,2.가정-학습-내용예습
275,2.가정-학습-학습진도확인
276,2.공조제어-송풍모드-내부순환모드끄기
277,2.공조제어-송풍모드-내부순환모드변경
278,2.공조제어-송풍모드-내부순환모드켜기
279,2.공조제어-송풍모드-송풍모드끄기
280,2.공조제어-송풍모드-송풍모드켜기
281,2.공조제어-차량에어컨-에어컨끄기
282,2.공조제어-차량에어컨-에어컨켜기
283,2.공조제어-차량에어컨-온도낮추기
284,2.공조제어-차량에어컨-온도설정
285,2.공조제어-차량에어컨-온도올리기
286,2.공조제어-차량히터-세기제어
287,2.공조제어-차량히터-온도낮추기
288,2.공조제어-차량히터-온도높이기
289,2.공조제어-차량히터-온도조절
290,2.공조제어-차량히터-히터끄기
291,2.공조제어-차량히터-히터켜기
292,2.마트-가격비교-1:1비교
293,2.마트-가격비교-단순비교
294,2.마트-가격비교-상대비교검색
295,2.마트-가격비교-최저가검색
296,2.마트-가격비교-타사제품가격정보
297,2.마트-상품위치및정보-코너찾기
298,2.마트-상품위치및정보-품목찾기
299,2.마트-운영시간확인-마감시간확인
300,2.마트-운영시간확인-마트휴무확인
301,2.마트-운영시간확인-오픈시간확인
302,2.마트-운영시간확인-전체확인
303,2.마트-운영시간확인-특정기간검색
304,2.마트-주차정산-결제진행
305,2.마트-주차정산-요금안내
306,2.마트-직원호출-담당직원호출
307,2.마트-직원호출-아무직원호출
308,2.마트-할인정보확인-기간범위
309,2.마트-할인정보확인-기간정보
310,2.마트-할인정보확인-정가확인
311,2.마트-할인정보확인-특정날짜확인
